idmeter,clus_num
22813653,7
22813654,3
22813655,4
22813657,11
22813658,12
22813659,4
22813660,1
22813661,3
22813662,3
22813664,10
22813670,8
22813671,7
22813672,1
22813673,11
22813680,7
22813682,1
22813683,1
22813686,1
22813687,1
22813688,1
22813692,10
22813696,4
22813697,1
22813707,10
22813710,1
22813711,3
22813712,11
22813714,11
22813716,3
22813718,4
22813720,1
22813721,1
22813722,1
22813723,4
22813724,10
22813726,11
22813727,8
22813729,1
22813733,1
22813734,11
22813738,3
22813739,7
22813740,5
22813741,4
22813742,7
22813743,1
22813744,10
22813745,7
22813746,6
22813747,1
22813748,3
22813749,3
22813752,6
22813753,11
22813754,3
22813756,7
22813757,3
22813758,1
22813759,6
22813762,4
22813765,3
22813767,1
22813768,4
22813769,8
22813770,4
22813771,4
22813773,11
22813774,1
22813776,11
22813777,4
22813779,1
22813780,10
22813781,6
22813782,7
22813783,7
22813784,4
22813785,4
22813786,1
22813787,10
22813788,4
22813789,7
22813791,9
22813792,1
22813793,1
22813794,4
22813795,4
22813796,7
22813797,4
22813798,1
22813799,12
22813801,11
22813802,1
22813803,1
22813806,4
22813807,11
22813808,3
22813809,7
22813810,10
22813811,1
22813812,1
22813813,9
22813814,7
22813815,7
22813816,4
22813817,4
22813819,3
22813820,11
22813821,1
22813822,7
22813823,11
22813825,3
22813826,1
22813827,7
22813828,11
22813830,7
22813831,4
22813832,1
22813833,7
22813834,12
22813836,4
22813837,1
22813838,1
22813841,1
22813842,11
22813844,7
22813845,8
22813847,4
22813848,7
22813850,11
22813851,4
22813852,1
22813853,1
22813854,10
22813855,10
22813857,1
22813858,4
22813859,1
22813860,7
22813861,4
22813862,4
22813863,5
22813866,3
22813867,12
22813868,1
22813869,2
22813870,4
22813871,4
22813872,11
22813873,4
22813874,6
22813875,4
22813876,4
22813877,3
22813878,8
22813879,11
22813881,4
22813882,4
22813883,7
22813884,11
22813886,12
22813888,11
22813889,8
22813890,1
22813891,7
22813892,1
22813893,7
22813899,4
22813901,11
22813903,1
22813904,12
22813905,1
22813906,1
22813907,1
22813908,11
22813909,11
22813910,10
22813911,4
22813912,6
22813914,7
22813915,1
22813917,2
22813918,9
22813920,4
22813921,1
22813922,7
22813923,4
22813924,1
22813925,11
22813926,1
22813927,3
22813928,3
22813929,1
22813930,4
22813932,7
22813933,5
22813934,11
22813935,4
22813936,6
22813937,6
22813938,8
22813943,6
22813946,3
22813948,4
22813950,11
22813951,7
22813952,6
22813953,1
22813955,1
22813956,1
22813958,3
22813960,10
22813961,11
22813962,3
22813963,7
22813964,9
22813965,4
22813967,4
22813968,4
22813969,1
22813971,1
22813972,11
22813973,4
22813974,2
22813976,6
22813977,2
22813978,1
22813979,2
22813980,8
22813981,2
22813982,1
